UTC,Temperature[C],Humidity[%],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],class
1654733331,20,57.36,400,12306,18520,939.735,0
1654733332,20.015,56.67,400,12345,18651,939.744,0
1654733333,20.029,55.96,400,12374,18764,939.738,0
1654733334,20.044,55.28,400,12390,18849,939.736,0
1654733335,20.059,54.69,400,12403,18921,939.744,0
1654733336,20.073,54.12,400,12419,18998,939.725,0
1654733337,20.088,53.61,400,12432,19058,939.738,0
1654733338,20.103,53.2,400,12439,19114,939.758,0
1654733339,20.117,52.81,400,12448,19155,939.758,0
1654733340,20.132,52.46,400,12453,19195,939.756,0
1654733341,20.146,52.15,400,12454,19230,939.757,0
1654733342,20.161,51.84,400,12467,19264,939.754,0
1654733343,20.175,51.62,400,12467,19299,939.755,0
1654733344,20.19,51.39,400,12469,19317,939.758,0
1654733345,20.204,51.17,403,12468,19338,939.742,0
1654733346,20.219,50.99,400,12475,19362,939.741,0
1654733347,20.233,50.86,400,12480,19382,939.758,0
1654733348,20.248,50.66,400,12477,19400,939.764,0
1654733349,20.262,50.49,400,12481,19422,939.761,0
1654733350,20.277,50.27,406,12489,19451,939.752,0
1654733351,20.291,50.15,400,12491,19456,939.729,0
1654733352,20.305,50.02,400,12487,19470,939.741,0
1654733353,20.32,49.96,400,12492,19489,939.756,0
1654733354,20.334,49.83,415,12495,19489,939.764,0
1654733355,20.348,49.76,400,12498,19503,939.77,0
1654733356,20.363,49.65,401,12499,19516,939.774,0
1654733357,20.377,49.58,404,12503,19525,939.771,0
1654733358,20.391,49.37,445,12478,19500,939.771,0
1654733359,20.406,49.58,455,12472,19487,939.77,0
1654733360,20.42,50.11,443,12471,19493,939.775,0
1654733361,20.434,50.68,435,12481,19509,939.772,0
1654733362,20.448,51.23,440,12482,19520,939.772,0
1654733363,20.462,51.77,440,12479,19515,939.762,0
1654733364,20.477,52.28,420,12486,19532,939.769,0
1654733365,20.491,52.74,414,12489,19535,939.747,0
1654733366,20.505,53.12,413,12490,19541,939.754,0
1654733367,20.519,53.5,410,12491,19541,939.755,0
1654733368,20.533,53.84,413,12498,19552,939.747,0
1654733369,20.547,54.13,400,12498,19569,939.757,0
1654733370,20.561,54.41,415,12491,19559,939.761,0
1654733371,20.575,54.67,406,12498,19553,939.766,0
1654733372,20.589,54.91,400,12503,19578,939.765,0
1654733373,20.603,55.08,410,12497,19565,939.761,0
1654733374,20.617,55.28,400,12505,19565,939.757,0
1654733375,20.631,55.49,400,12508,19581,939.762,0
1654733376,20.645,55.86,404,12501,19574,939.754,0
1654733377,20.659,55.99,406,12505,19582,939.754,0
1654733378,20.673,56.11,400,12507,19585,939.745,0
1654733379,20.687,56.18,400,12514,19594,939.741,0
1654733380,20.701,56.32,408,12510,19587,939.722,0
1654733381,20.715,56.36,416,12503,19580,939.711,0
1654733382,20.729,56.47,411,12508,19587,939.701,0
1654733383,20.743,56.55,404,12512,19596,939.693,0
1654733384,20.756,56.6,404,12513,19591,939.707,0
1654733385,20.77,56.66,400,12514,19595,939.718,0
1654733386,20.784,56.91,400,12535,19628,939.722,0
1654733387,20.798,56.64,400,12532,19626,939.721,0
1654733388,20.812,56.06,400,12538,19624,939.709,0
1654733389,20.825,55.38,400,12539,19629,939.714,0
1654733390,20.839,54.75,401,12539,19636,939.718,0
1654733391,20.853,54.14,406,12536,19627,939.719,0
1654733392,20.867,53.6,415,12529,19625,939.734,0
1654733393,20.88,53.11,400,12531,19635,939.746,0
1654733394,20.894,52.66,418,12536,19647,939.752,0
1654733395,20.908,52.27,411,12534,19635,939.76,0
1654733396,20.921,51.94,415,12527,19623,939.758,0
1654733397,20.935,51.66,413,12530,19635,939.762,0
1654733398,20.948,51.38,421,12532,19631,939.779,0
1654733399,20.962,51.16,407,12533,19627,939.767,0
1654733400,20.976,50.92,407,12536,19630,939.771,0
1654733401,20.989,50.72,401,12529,19622,939.77,0
1654733402,21.003,50.55,412,12534,19646,939.773,0
1654733403,21.016,50.38,417,12529,19623,939.763,0
1654733404,21.03,50.24,413,12532,19626,939.772,0
1654733405,21.043,50.1,410,12533,19633,939.776,0
1654736607,8.156,58.92,400,13177,20018,939.694,1
1654736608,8.143,59.72,400,13179,20011,939.692,1
1654736609,8.131,60.38,400,13179,20012,939.701,1
1654736610,8.118,61,400,13184,20016,939.703,1
1654736611,8.106,61.52,400,13184,20019,939.701,1
1654736612,8.093,61.95,400,13180,20013,939.694,1
1654736613,8.081,62.33,400,13190,20019,939.686,1
1654736614,8.068,62.67,400,13185,20023,939.681,1
1654736615,8.056,62.93,400,13186,20013,939.693,1
1654736616,8.043,63.18,400,13184,20013,939.697,1
1654736617,8.031,63.36,400,13185,20013,939.698,1
1654736618,8.018,63.53,400,13185,20005,939.704,1
1654736619,8.006,63.69,400,13180,20010,939.7,1
1654736620,7.993,63.83,400,13181,20014,939.7,1
1654736621,7.981,63.92,400,13184,20015,939.703,1
1654736622,7.968,64.05,400,13193,20015,939.692,1
1654736623,7.956,64.13,400,13185,20011,939.692,1
1654736624,7.943,64.21,400,13189,20016,939.704,1
1654736625,7.931,64.28,400,13180,20011,939.707,1
1654736626,7.918,64.34,400,13184,20013,939.696,1
1654736627,7.906,64.44,400,13182,19999,939.69,1
1654736628,7.893,64.44,400,13178,20003,939.7,1
1654736629,7.881,64.53,400,13181,20006,939.708,1
1654736630,7.869,64.51,400,13178,19996,939.709,1
1654736631,7.856,64.52,400,13182,20003,939.685,1
1654736632,7.844,64.57,400,13174,19990,939.687,1
1654736633,7.831,64.62,400,13174,20008,939.696,1
1654736634,7.819,64.65,400,13176,19989,939.691,1
1654736635,7.806,64.77,400,13188,20014,939.695,1
1654736636,7.794,64.09,400,13196,20025,939.7,1
1654736637,7.781,63.2,400,13189,20013,939.702,1
1654736638,7.769,62.3,400,13189,20009,939.708,1
1654736639,7.756,61.45,400,13188,20008,939.699,1
1654736640,7.744,60.79,400,13188,20016,939.709,1
1654736641,7.731,60.23,400,13180,20008,939.707,1
1654736642,7.719,59.71,400,13184,20004,939.69,1
1654736643,7.706,59.25,400,13184,19998,939.686,1
1654736644,7.694,58.87,400,13178,19995,939.701,1
1654736645,7.681,58.52,400,13178,19997,939.695,1
1654736646,7.669,58.27,400,13178,20000,939.695,1
1654736647,7.656,58.02,400,13174,19992,939.688,1
1654736648,7.644,57.76,400,13173,19991,939.686,1
1654736649,7.631,57.63,400,13180,19992,939.679,1
1654736650,7.619,57.46,400,13175,19984,939.664,1
1654736651,7.607,57.26,400,13172,19983,939.679,1
1654736652,7.594,57.15,400,13174,19990,939.674,1
1654736653,7.582,56.99,400,13176,19982,939.665,1
1654736654,7.569,56.82,400,13171,19982,939.672,1
1654736655,7.557,56.75,400,13165,19989,939.671,1
1654736656,7.544,56.63,400,13162,19972,939.682,1
1654736657,7.532,56.55,400,13165,19974,939.687,1
1654736658,7.519,56.46,400,13164,19981,939.692,1
1654736659,7.507,56.34,400,13167,19981,939.688,1
1654736660,7.494,56.24,400,13169,19981,939.687,1
1654736661,7.482,56.21,400,13161,19968,939.682,1
1654736662,7.469,56.12,400,13170,19977,939.669,1
1654736663,7.457,56.04,400,13167,19984,939.654,1
1654736664,7.444,55.95,400,13162,19974,939.666,1
1654736665,7.432,55.83,400,13138,19948,939.652,1
1654736666,7.42,56.37,400,13146,19950,939.651,1
1654736667,7.407,57.19,400,13146,19953,939.665,1
1654736668,7.395,58.03,400,13147,19952,939.667,1
1654736669,7.382,58.74,400,13150,19948,939.675,1
1654736670,7.37,59.32,400,13150,19954,939.675,1
1654736671,7.357,59.84,400,13149,19954,939.672,1
1654736672,7.345,60.28,400,13151,19952,939.669,1
1654736673,7.332,60.65,400,13152,19956,939.673,1
1654736674,7.32,60.95,400,13152,19961,939.67,1
1654736675,7.307,61.19,400,13153,19961,939.675,1
1654736676,7.295,61.43,400,13146,19954,939.677,1
1654736677,7.283,61.65,400,13153,19950,939.68,1
1654736678,7.27,61.8,400,13151,19957,939.677,1
1654736679,7.258,61.94,400,13153,19957,939.664,1
1654736680,7.245,62.09,400,13146,19951,939.664,1
1654736681,7.233,62.17,400,13148,19964,939.666,1
