Temperature[C],Humidity[%],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],class
20,57.36,400,12306,18520,939.735,0
20.015,56.67,400,12345,18651,939.744,0
20.029,55.96,400,12374,18764,939.738,0
20.044,55.28,400,12390,18849,939.736,0
20.059,54.69,400,12403,18921,939.744,0
20.073,54.12,400,12419,18998,939.725,0
20.088,53.61,400,12432,19058,939.738,0
20.103,53.2,400,12439,19114,939.758,0
20.117,52.81,400,12448,19155,939.758,0
20.132,52.46,400,12453,19195,939.756,0
20.146,52.15,400,12454,19230,939.757,0
20.161,51.84,400,12467,19264,939.754,0
20.175,51.62,400,12467,19299,939.755,0
20.19,51.39,400,12469,19317,939.758,0
20.204,51.17,403,12468,19338,939.742,0
20.219,50.99,400,12475,19362,939.741,0
20.233,50.86,400,12480,19382,939.758,0
20.248,50.66,400,12477,19400,939.764,0
20.262,50.49,400,12481,19422,939.761,0
20.277,50.27,406,12489,19451,939.752,0
20.291,50.15,400,12491,19456,939.729,0
20.305,50.02,400,12487,19470,939.741,0
20.32,49.96,400,12492,19489,939.756,0
20.334,49.83,415,12495,19489,939.764,0
20.348,49.76,400,12498,19503,939.77,0
20.363,49.65,401,12499,19516,939.774,0
20.377,49.58,404,12503,19525,939.771,0
20.391,49.37,445,12478,19500,939.771,0
20.406,49.58,455,12472,19487,939.77,0
20.42,50.11,443,12471,19493,939.775,0
20.434,50.68,435,12481,19509,939.772,0
20.448,51.23,440,12482,19520,939.772,0
20.462,51.77,440,12479,19515,939.762,0
20.477,52.28,420,12486,19532,939.769,0
20.491,52.74,414,12489,19535,939.747,0
20.505,53.12,413,12490,19541,939.754,0
20.519,53.5,410,12491,19541,939.755,0
20.533,53.84,413,12498,19552,939.747,0
20.547,54.13,400,12498,19569,939.757,0
20.561,54.41,415,12491,19559,939.761,0
20.575,54.67,406,12498,19553,939.766,0
20.589,54.91,400,12503,19578,939.765,0
20.603,55.08,410,12497,19565,939.761,0
20.617,55.28,400,12505,19565,939.757,0
20.631,55.49,400,12508,19581,939.762,0
20.645,55.86,404,12501,19574,939.754,0
20.659,55.99,406,12505,19582,939.754,0
20.673,56.11,400,12507,19585,939.745,0
20.687,56.18,400,12514,19594,939.741,0
20.701,56.32,408,12510,19587,939.722,0
20.715,56.36,416,12503,19580,939.711,0
20.729,56.47,411,12508,19587,939.701,0
20.743,56.55,404,12512,19596,939.693,0
20.756,56.6,404,12513,19591,939.707,0
20.77,56.66,400,12514,19595,939.718,0
20.784,56.91,400,12535,19628,939.722,0
20.798,56.64,400,12532,19626,939.721,0
20.812,56.06,400,12538,19624,939.709,0
20.825,55.38,400,12539,19629,939.714,0
20.839,54.75,401,12539,19636,939.718,0
20.853,54.14,406,12536,19627,939.719,0
20.867,53.6,415,12529,19625,939.734,0
20.88,53.11,400,12531,19635,939.746,0
20.894,52.66,418,12536,19647,939.752,0
20.908,52.27,411,12534,19635,939.76,0
20.921,51.94,415,12527,19623,939.758,0
20.935,51.66,413,12530,19635,939.762,0
20.948,51.38,421,12532,19631,939.779,0
20.962,51.16,407,12533,19627,939.767,0
20.976,50.92,407,12536,19630,939.771,1
20.989,50.72,401,12529,19622,939.77,1
21.003,50.55,412,12534,19646,939.773,1
21.016,50.38,417,12529,19623,939.763,1
21.03,50.24,413,12532,19626,939.772,1
21.043,50.1,410,12533,19633,939.776,1
8.156,58.92,400,13177,20018,939.694,1
8.143,59.72,400,13179,20011,939.692,1
8.131,60.38,400,13179,20012,939.701,1
